"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
2.98941031904056e-140,1.59484644869786,0.258,0.093,3.24351019615901e-136,"HSPB1"
2.37812458673478e-142,1.59187341309359,0.295,0.121,2.58026517660724e-138,"KCNMB4"
1.32014340568781e-320,1.57803099664256,0.665,0.41,1.43235559517127e-316,"CRYAB"
1.55085951523906e-154,1.5420661829303,0.333,0.145,1.68268257403438e-150,"CCP110"
2.456318607783e-140,1.53928175466575,0.337,0.156,2.66510568944455e-136,"MT-CYB"
4.47362714615842e-150,1.52363174897036,0.343,0.157,4.85388545358188e-146,"NDRG1"
3.62270684729266e-114,1.45363264853578,0.274,0.122,3.93063692931253e-110,"SLC38A2"
2.57070833819496e-170,1.44752787681799,0.464,0.263,2.78921854694153e-166,"MT-CO2"
3.40054085940016e-120,1.42410472465301,0.344,0.177,3.68958683244918e-116,"MT-ND2"
2.50023334198329e-167,1.38298945556515,0.448,0.246,2.71275317605187e-163,"MT-CO3"
1.30332501399794e-247,1.37999506835197,0.612,0.403,1.41410764018777e-243,"ERBB2IP"
8.38856312066677e-156,1.35875835561398,0.412,0.214,9.10159098592345e-152,"CNTN2"
2.09107463245795e-95,1.31400765585871,0.301,0.159,2.26881597621687e-91,"CLK1"
2.77292425260023e-128,1.26301655144728,0.353,0.175,3.00862281407125e-124,"MYRF"
8.41410955687871e-243,1.23644613732006,0.588,0.332,9.1293088692134e-239,"QDPR"
3.50546241709863e-165,1.21429054292619,0.49,0.287,3.80342672255201e-161,"HSP90AA1"
1.36630282335323e-109,1.12731068033744,0.442,0.289,1.48243856333825e-105,"PSAP"
7.37065863611742e-116,1.12428994378846,0.397,0.227,7.9971646201874e-112,"BIN1"
5.72171134731819e-73,1.09475011006565,0.253,0.131,6.20805681184024e-69,"ANLN"
3.73160374126938e-88,1.04200344675269,0.361,0.215,4.04879005927727e-84,"AMER2"
2.29147641777559e-53,1.03796606529642,0.252,0.15,2.48625191328652e-49,"MT-ND3"
4.50640949884326e-118,1.00773537217424,0.453,0.276,4.88945430624493e-114,"LAMP2"
2.21882833532083e-102,0.999342177967057,0.459,0.306,2.4074287438231e-98,"GPRC5B"
1.39846980819443e-49,0.985579320727688,0.255,0.157,1.51733974189096e-45,"ITPKB"
2.14669407859845e-92,0.959082775782794,0.454,0.308,2.32916307527931e-88,"PRUNE2"
1.92852423897784e-62,0.95216979729985,0.435,0.337,2.09244879929096e-58,"NDRG2"
4.51598837370037e-77,0.925968635102259,0.353,0.216,4.8998473854649e-73,"NFASC"
9.65290065322375e-80,0.924670602060179,0.412,0.277,1.04733972087478e-75,"TMEM165"
1.37727220851307e-93,0.922594870455416,0.459,0.312,1.49434034623668e-89,"SGK1"
5.20399317496722e-68,0.919649117583031,0.388,0.268,5.64633259483943e-64,"MT3"
1.1269663431333e-54,0.91652821853229,0.303,0.195,1.22275848229963e-50,"SORT1"
6.48682193035417e-46,0.908139963974257,0.264,0.17,7.03820179443428e-42,"CSRP1"
9.89310735620442e-57,0.90301196374832,0.338,0.228,1.07340214814818e-52,"SEPW1"
1.75361775551227e-99,0.899253406900834,0.463,0.303,1.90267526473081e-95,"ABCA2"
1.31228670295862e-43,0.877479041075665,0.253,0.159,1.4238310727101e-39,"TTYH2"
3.92318912996324e-91,0.845988547577602,0.489,0.343,4.25666020601011e-87,"SPOCK1"
1.79478759007228e-51,0.844499139898163,0.307,0.2,1.94734453522842e-47,"AATK"
2.92636271379783e-45,0.823835745613567,0.323,0.222,3.17510354447064e-41,"CNDP1"
6.16572152897332e-35,0.808572733074583,0.28,0.199,6.68980785893605e-31,"PRNP"
1.30380508290869e-54,0.789204415326239,0.384,0.275,1.41462851495593e-50,"DIP2B"
4.59748738122639e-39,0.785989968988041,0.291,0.202,4.98827380863064e-35,"RGCC"
9.22344707423142e-80,0.701549388547354,0.491,0.338,1.00074400755411e-75,"CLDN11"
2.98718225335482e-43,0.695905046628277,0.313,0.212,3.24109274488998e-39,"LINC00844"
4.88564991134282e-61,0.688384958716021,0.471,0.35,5.30093015380696e-57,"FRYL"
5.67351218647909e-88,0.676685207986134,0.575,0.429,6.15576072232982e-84,"PIP4K2A"
