"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.27546151655122e-97,-1.24693447677111,0.12,0.264,1.38387574545808e-93,"FRMD4A"
3.03368467938094e-132,-1.24861978644722,0.154,0.335,3.29154787712832e-128,"FUT9"
9.79025985098228e-106,-1.25960865389764,0.138,0.292,1.06224319383158e-101,"FGF14"
1.00934561523498e-109,-1.26540684819763,0.18,0.341,1.09513999252995e-105,"DPP6"
4.8817979011831e-119,-1.27804223284436,0.16,0.328,5.29675072278366e-115,"MSI2"
2.52082363482613e-159,-1.28550486442837,0.124,0.322,2.73509364378635e-155,"NEBL"
2.53982611813872e-124,-1.29790251845675,0.103,0.264,2.75571133818051e-120,"FMN2"
2.06710647144952e-125,-1.3388103518456,0.15,0.32,2.24281052152273e-121,"MDGA2"
1.54300917176897e-134,-1.3534632236054,0.132,0.307,1.67416495136933e-130,"REV3L"
4.67326965465075e-229,-1.3649184498004,0.186,0.447,5.07049757529607e-225,"PDE4D"
0,-1.37545411074087,0.415,0.705,0,"NTM"
3.54198569966779e-188,-1.37969963471802,0.216,0.444,3.84305448413955e-184,"TNIK"
1.52527320989589e-144,-1.39469553383368,0.139,0.324,1.65492143273704e-140,"RP11-436D23.1"
1.46815430343845e-138,-1.40052209252352,0.102,0.274,1.59294741923072e-134,"KCNMA1"
1.96852516015343e-237,-1.41790522109524,0.228,0.492,2.13584979876648e-233,"NRG3"
3.29734095589635e-144,-1.42004514096274,0.157,0.344,3.57761493714754e-140,"GRID2"
3.86096862360691e-163,-1.43708838074042,0.129,0.326,4.1891509566135e-159,"SGCD"
1.00543453895008e-123,-1.44242664758883,0.104,0.261,1.09089647476084e-119,"APC"
2.43780406450611e-154,-1.44896786227302,0.13,0.321,2.64501740998913e-150,"PITPNC1"
2.7293807339329e-120,-1.45671161722748,0.123,0.283,2.96137809631719e-116,"TRPM3"
1.0888101808884e-140,-1.45761583416192,0.094,0.262,1.18135904626392e-136,"RGS7"
4.39847674694559e-169,-1.45832314762038,0.141,0.344,4.77234727043596e-165,"PTN"
2.05167939161421e-204,-1.46202560212142,0.199,0.439,2.22607213990142e-200,"CST3"
1.35792938729372e-158,-1.48500000033007,0.129,0.322,1.47335338521369e-154,"CPE"
2.87191838805962e-145,-1.49793731352651,0.1,0.274,3.11603145104469e-141,"LINC00461"
1.95886407273742e-151,-1.50955978827289,0.119,0.302,2.1253675189201e-147,"OPHN1"
6.67413640175859e-145,-1.51574717627426,0.09,0.26,7.24143799590807e-141,"PTPRG"
